industry,stream,status,activities
life_sciences,incident_to_resolution,corpus_calibrated,10
life_sciences,issue_to_resolution,backbone,7
life_sciences,lead_to_order,backbone,9
life_sciences,order_to_cash,corpus_calibrated,13
life_sciences,plan_to_produce,backbone,7
life_sciences,procure_to_pay,corpus_calibrated,13
life_sciences,record_to_report,backbone,10
life_sciences,request_to_fulfil,backbone,5
life_sciences,risk_to_compliance,backbone,8
logistics,acquire_to_retire,backbone,7
logistics,book_to_deliver,overlay,6
logistics,budget_to_forecast,backbone,6
logistics,change_to_deploy,corpus_calibrated,8
logistics,contract_to_renewal,backbone,7
logistics,data_to_insight,backbone,6
logistics,declare_to_clear,overlay,5
logistics,hire_to_retire,backbone,9
logistics,idea_to_market,corpus_calibrated,8
logistics,incident_to_resolution,corpus_calibrated,10
logistics,issue_to_resolution,backbone,7
logistics,lead_to_order,backbone,9
logistics,order_to_cash,corpus_calibrated,13
logistics,plan_to_produce,backbone,7
logistics,procure_to_pay,corpus_calibrated,13
logistics,record_to_report,backbone,10
logistics,request_to_fulfil,backbone,5
logistics,risk_to_compliance,backbone,8
manufacturing,acquire_to_retire,backbone,7
manufacturing,budget_to_forecast,backbone,6
manufacturing,change_to_deploy,corpus_calibrated,8
manufacturing,contract_to_renewal,backbone,7
manufacturing,data_to_insight,backbone,6
manufacturing,hire_to_retire,backbone,9
manufacturing,idea_to_market,corpus_calibrated,8
manufacturing,incident_to_resolution,corpus_calibrated,10
manufacturing,issue_to_resolution,backbone,7
manufacturing,lead_to_order,backbone,9
manufacturing,ncr_to_close,overlay,5
manufacturing,order_to_cash,corpus_calibrated,13
manufacturing,plan_to_produce,backbone,7
manufacturing,procure_to_pay,corpus_calibrated,13
manufacturing,record_to_report,backbone,10
manufacturing,request_to_fulfil,backbone,5
manufacturing,risk_to_compliance,backbone,8
public_sector,acquire_to_retire,backbone,7
public_sector,apply_to_grant,overlay,5
public_sector,budget_to_forecast,backbone,6
public_sector,change_to_deploy,corpus_calibrated,8
public_sector,contract_to_renewal,backbone,7
public_sector,data_to_insight,backbone,6
public_sector,draft_to_decision,overlay,5
public_sector,hire_to_retire,backbone,9
public_sector,idea_to_market,corpus_calibrated,8
public_sector,incident_to_resolution,corpus_calibrated,10
public_sector,issue_to_resolution,backbone,7
public_sector,lead_to_order,backbone,9
public_sector,order_to_cash,corpus_calibrated,13
public_sector,plan_to_produce,backbone,7
public_sector,procure_to_pay,corpus_calibrated,13
public_sector,record_to_report,backbone,10
public_sector,request_to_fulfil,backbone,5
public_sector,risk_to_compliance,backbone,8
public_sector,tender_to_award,overlay,5
retail,acquire_to_retire,backbone,7
retail,budget_to_forecast,backbone,6
retail,change_to_deploy,corpus_calibrated,8
retail,contract_to_renewal,backbone,7
retail,data_to_insight,backbone,6
retail,forecast_to_replenish,overlay,7
retail,hire_to_retire,backbone,9
retail,idea_to_market,corpus_calibrated,8
retail,incident_to_resolution,corpus_calibrated,10
retail,issue_to_resolution,backbone,7
retail,lead_to_order,backbone,9
retail,order_to_cash,corpus_calibrated,13
retail,plan_to_produce,backbone,7
retail,procure_to_pay,corpus_calibrated,13
retail,promo_to_evaluate,overlay,6
retail,record_to_report,backbone,10
retail,request_to_fulfil,backbone,5
retail,risk_to_compliance,backbone,8
technology_saas,acquire_to_retire,backbone,7
technology_saas,alert_to_postmortem,corpus_calibrated,7
technology_saas,budget_to_forecast,backbone,6
technology_saas,change_to_deploy,corpus_calibrated,8
technology_saas,contract_to_renewal,backbone,7
technology_saas,data_to_insight,backbone,6
technology_saas,health_to_renewal,overlay,6
technology_saas,hire_to_retire,backbone,9
technology_saas,idea_to_market,corpus_calibrated,8
technology_saas,incident_to_resolution,corpus_calibrated,10
technology_saas,issue_to_resolution,backbone,7
technology_saas,lead_to_order,backbone,9
technology_saas,order_to_cash,corpus_calibrated,13
technology_saas,plan_to_produce,backbone,7
technology_saas,procure_to_pay,corpus_calibrated,13
technology_saas,record_to_report,backbone,10
technology_saas,request_to_fulfil,backbone,5
technology_saas,risk_to_compliance,backbone,8
telecom,acquire_to_retire,backbone,7
telecom,alarm_to_restore,corpus_calibrated,6
telecom,budget_to_forecast,backbone,6
telecom,change_to_deploy,corpus_calibrated,8
telecom,contract_to_renewal,backbone,7
telecom,data_to_insight,backbone,6
telecom,hire_to_retire,backbone,9
telecom,idea_to_market,corpus_calibrated,8
telecom,incident_to_resolution,corpus_calibrated,10
telecom,issue_to_resolution,backbone,7
telecom,lead_to_order,backbone,9
telecom,order_to_activate,overlay,6
telecom,order_to_cash,corpus_calibrated,13
telecom,plan_to_produce,backbone,7
telecom,procure_to_pay,corpus_calibrated,13
telecom,record_to_report,backbone,10
telecom,request_to_fulfil,backbone,5
telecom,risk_to_compliance,backbone,8
telecom,usage_to_bill,overlay,6
utilities,acquire_to_retire,backbone,7
utilities,budget_to_forecast,backbone,6
utilities,change_to_deploy,corpus_calibrated,8
utilities,contract_to_renewal,backbone,7
utilities,data_to_insight,backbone,6
utilities,fault_to_restore,overlay,7
utilities,hire_to_retire,backbone,9
utilities,idea_to_market,corpus_calibrated,8
utilities,incident_to_resolution,corpus_calibrated,10
utilities,inspect_to_maintain,overlay,5
utilities,issue_to_resolution,backbone,7
utilities,lead_to_order,backbone,9
utilities,order_to_cash,corpus_calibrated,13
utilities,plan_to_produce,backbone,7
utilities,procure_to_pay,corpus_calibrated,13
utilities,record_to_report,backbone,10
utilities,request_to_fulfil,backbone,5
utilities,risk_to_compliance,backbone,8
